,rating,rating,rating,rating,price_level,price_level,price_level,price_level
,count,mean,median,std,count,mean,median,std
city,,,,,,,,
花蓮縣,60,4.751666666666667,4.8,0.1952761336200151,25,1.88,2.0,0.33166247903554
雲林縣,59,4.72542372881356,4.8,0.20051074469359575,17,1.9411764705882353,2.0,0.42874646285627216
嘉義市,60,4.711666666666667,4.7,0.18141783092775393,27,1.9259259259259258,2.0,0.26688025634181184
彰化縣,60,4.711666666666667,4.7,0.24707898048775828,17,1.8823529411764706,2.0,0.3321055820775357
宜蘭縣,60,4.694999999999999,4.7,0.24246264783100163,27,2.0,2.0,0.0
南投縣,59,4.694915254237288,4.8,0.262234252223386,22,1.9090909090909092,2.0,0.2942449431682499
高雄市,120,4.683333333333334,4.7,0.2305759443360096,46,1.7608695652173914,2.0,0.4312659714888843
台南市,60,4.680000000000001,4.75,0.20151965038557745,27,1.7777777777777777,2.0,0.4236592728681617
基隆市,60,4.678333333333333,4.7,0.18048115227824657,19,1.8421052631578947,2.0,0.3746343246326776
台中市,119,4.65798319327731,4.7,0.24855371425042633,48,1.9166666666666667,2.0,0.3472281323374084
苗栗縣,60,4.625,4.7,0.26847024264607194,24,1.9583333333333333,2.0,0.3586407511783862
新竹市,60,4.611666666666666,4.6,0.2116053783772806,27,1.8888888888888888,2.0,0.32025630761017426
新北市,120,4.6075,4.6,0.2531025965290518,59,1.7627118644067796,2.0,0.4290720962988926
桃園市,60,4.598333333333333,4.6,0.24735322075770316,25,1.96,2.0,0.2
屏東縣,60,4.573333333333333,4.7,0.3313386647140104,28,1.8571428571428572,2.0,0.35634832254989923
台北市,120,4.549166666666666,4.6,0.2293563640640797,61,1.9344262295081966,2.0,0.24958982745138691
