city,area_name,lat,lng,radius_m
台北市,大安區,25.0330,121.5435,2500
台北市,信義區,25.0335,121.5651,2500
台北市,中山區,25.0627,121.5337,2500
台北市,文山區,24.9884,121.5701,2500
新北市,板橋區,25.0111,121.4628,2500
新北市,永和區,25.0159,121.5151,2500
新北市,三重區,25.0629,121.4870,2500
桃園市,中壢區,24.9540,121.2249,2500
桃園市,桃園區,25.0120,121.2969,2500
新竹市,東區,24.8039,120.9719,2500
新竹縣,竹北市,24.8333,121.0064,2500
台中市,西屯區,24.1814,120.6463,2500
台中市,北區,24.1619,120.6836,2500
彰化縣,彰化市,24.0816,120.5383,2500
雲林縣,斗六市,23.7095,120.5409,2500
嘉義市,東區,23.4801,120.4606,2500
台南市,中西區,22.9977,120.1950,2500
台南市,東區,22.9869,120.2269,2500
高雄市,苓雅區,22.6217,120.3110,2500
高雄市,鼓山區,22.6375,120.2805,2500
屏東縣,屏東市,22.6813,120.4880,2500
花蓮縣,花蓮市,23.9790,121.6008,2500
宜蘭縣,羅東鎮,24.6767,121.7680,2500
