city,area_name,place_id,name,rating,popularity,price_level,types_csv,address,category_main
基隆市,中正區,ChIJtyBr8NNPXTQR2GpG4lK7OBk,小李海鮮麵-「旅行世界的海鮮麵」 （非自助）,4.7,2362,,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區北寧路389號,海鮮
基隆市,中正區,ChIJt20vUJVPXTQRrmP8PGNA_BE,母湯Mom's Soup,5.0,151,,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區正濱路96號3樓,其他
基隆市,中正區,ChIJYd7ELWNPXTQR-wMcmePIIq0,泰舍泰式料理-基隆店,4.9,5010,,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區信二路290-1號,泰式
基隆市,中正區,ChIJV9LS9qVPXTQR7QMuvhxRpQ8,天晴晴天,4.7,311,2.0,"cafe,restaurant,point_of_interest,food,establishment",202台灣基隆市中正區中正路236號1樓,咖啡廳
基隆市,中正區,ChIJs-Z5wtlPXTQRzLKrLgJFvMU,嶼我 Me & Island,4.6,432,,"restaurant,store,point_of_interest,food,establishment",202台灣基隆市中正區正濱路25號,其他
基隆市,中正區,ChIJj0oVsd9PXTQRVUQP91niQfc,架大碗海鮮粥•麵,4.6,1586,2.0,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區信三路16號,海鮮
基隆市,中正區,ChIJZxvomkBOXTQRVkKyB7_dZ5U,HND好日子美式海鮮餐廳,4.8,1559,2.0,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區義二路81號2樓,美式
基隆市,中正區,ChIJS9JpdQNPXTQRHibjkq_eE-g,正味食堂 地方奶奶用心美食,4.7,183,,"restaurant,store,point_of_interest,food,establishment",202台灣基隆市中正區中正路542號,其他
基隆市,中正區,ChIJt4R2RehPXTQRv5rwX47ggYs,二十一義,4.4,504,,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區中正路24號,其他
基隆市,中正區,ChIJQycB5wNPXTQRqx80q3wFdzY,河豚很多｜義大利麵｜窯烤披薩｜下午茶｜正濱彩虹屋,4.1,1408,2.0,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區正濱路88號,義式
基隆市,中正區,ChIJM7oEpP5PXTQRUDKU0IcqmJs,隆香茶室 LOONG HEONG (公休請留意IG),4.5,282,,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區北寧路3號,其他
基隆市,中正區,ChIJVXCK-7NPXTQRh2svpQAhSQU,525創意酒食館,4.7,364,,"restaurant,store,point_of_interest,food,establishment",202台灣基隆市中正區中正路525號,其他
基隆市,中正區,ChIJN-vbHntPXTQR8vAe2Jkofrs,casa PICASSO 畢加索餐廳,4.1,494,2.0,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區中正路527號,其他
基隆市,中正區,ChIJcQLdjm5PXTQRgdmbeROLJaE,基隆港好食城,4.5,532,,"point_of_interest,food,establishment",202004台灣基隆市中正區中正路3號2F,其他
基隆市,中正區,ChIJAb75Co1PXTQRe5dsjpLFR-A,群賢閣蔬食餐廳-基隆信義素食餐廳|蔬食料理|健康蔬食|特色蔬食|人氣餐廳|在地推薦餐廳,4.8,380,,"restaurant,point_of_interest,food,establishment",201台灣基隆市信義區壽山路21號,素食
基隆市,中正區,ChIJWR6pwgNPXTQRPyJebMN5RiU,下麵,4.7,119,,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區正濱路96號3樓,其他
基隆市,中正區,ChIJ-XnUwwtPXTQR_0OWXF9yVJ4,漁品軒海鮮木桶魚（10/1試營運）,4.0,2809,2.0,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區漁港二街2號4樓,海鮮
基隆市,中正區,ChIJx_Erj-JPXTQRTPrfeTs4f1g,寶妹雲泰料理,4.4,59,,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區中正路792號,其他
基隆市,中正區,ChIJuQjoBwBPXTQRx-mM7tWkCGw,開飯川食堂,4.7,532,2.0,"restaurant,point_of_interest,food,establishment",202004台灣基隆市中正區中正路3號2樓,其他
基隆市,中正區,ChIJ0ybWNbNPXTQRO3tjfvFvZKY,多馬和食,4.8,153,,"restaurant,point_of_interest,food,establishment",202台灣基隆市中正區中正路217號,其他
基隆市,中正區,ChIJEQC3OCpPXTQRUA-tYdPVETk,小腳落 Little corner（公休請參考FB或IG）,4.7,485,2.0,"restaurant,food,point_of_interest,establishment",201台灣基隆市信義區信一路141巷15號1樓,其他
基隆市,中正區,ChIJvTR8owtPXTQR1t43iDLroSg,阿良飯麵館,4.6,214,1.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區義二路204號,中式
基隆市,中正區,ChIJ2zwvcUZPXTQRivkMPLGswWE,RAIN DANCE 雨舞餐廳,4.7,844,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區北寧路446巷51號,其他
基隆市,中正區,ChIJOyyhHEFOXTQRfapreY3z9yI,陶板屋 基隆信一店,4.7,5705,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區信一路177號12F,其他
基隆市,中正區,ChIJuWiZbMRPXTQRsfugl79UqZk,美有計劃Cafe-寵物友善餐廳 咖啡廳 下午茶推薦 早午餐 舒芙蕾 基隆正濱漁港 正濱彩虹屋,4.7,1646,2.0,"cafe,store,restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路752號,咖啡廳
基隆市,中正區,ChIJ85HE-05PXTQRmPqGef3dRo0,渡船頭 阿信ㄟ灶咖,4.4,653,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區和一路31-1號,其他
基隆市,中正區,ChIJn0ofTa1PXTQRMhebMirkgsU,HYPE俱樂部,4.5,4,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路790-1號,其他
基隆市,中正區,ChIJf0Uw2V9PXTQRzKRlrJZPfyc,佃煮秋刀魚,4.7,445,1.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區正濱路54號1樓,其他
基隆市,中正區,ChIJWSupsUVOXTQR5tnien6y-Mc,金龍肉焿,4.1,4031,1.0,"store,restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中船路94號,其他
基隆市,中正區,ChIJuTX43DZPXTQRKoJIlNMaKnQ,定置漁場三代目 The Fishery 正濱漁港,4.3,597,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路541號B1,其他
基隆市,中正區,ChIJUf7huRZPXTQRIwqe6jrukgQ,海漾拾光《咖啡/冰品/下午茶》,4.8,249,,"store,restaurant,food,point_of_interest,establishment",20246台灣基隆市中正區正濱路108號,其他
基隆市,中正區,ChIJjebYPepPXTQRQUraEgk0ags,海路小廚,4.6,241,1.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區正濱路116巷5弄1號後門,其他
基隆市,中正區,ChIJ0_dRAXlPXTQRGTjpSvmP8as,潮境蕭媽媽冬瓜石花凍,4.7,297,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區北寧路369巷43-7號面對土地公廟右手邊藍色貨櫃屋,其他
基隆市,中正區,ChIJtfORq0VOXTQRJi4RZ4K7u2M,阿芬炒麵,4.3,649,1.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中船路128號,其他
基隆市,中正區,ChIJKa1Gx1NOXTQRCQnZdOw4oeM,陳家早點,3.9,1103,1.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路316號,其他
基隆市,中正區,ChIJJ0QLv51PXTQRIHms305O08A,玥成上海美味鮮湯包,4.2,1015,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區北寧路317-6號,其他
基隆市,中正區,ChIJQ650bHhPXTQRwEB-clZn1lo,水漾芭里海景餐廳,4.2,967,2.0,"restaurant,store,food,point_of_interest,establishment",202台灣基隆市中正區北寧路369巷48號,其他
基隆市,中正區,ChIJ5-aSbQNPXTQRcxIWK44YymA,(58) 海宴海產店,4.6,1543,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區和一路2巷11-25號,其他
基隆市,中正區,ChIJ5Yc6UQFPXTQRe_a2AHQqL-s,佳汶麵食館,4.2,260,1.0,"meal_takeaway,restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路766號,其他
基隆市,中正區,ChIJSYTQMQBPXTQRH3m3rfCoyfY,老鐵們炭火三明治-基隆店,4.3,109,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路555號,其他
基隆市,中正區,ChIJSVZtiuNPXTQRD47f--iOYvI,Dreaming 實夢,5.0,48,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路806號二樓,其他
基隆市,中正區,ChIJ2WRSJwBPXTQR54fgb4p6iIg,饗泰多泰式風格餐廳 基隆店,4.8,768,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路3號2樓,泰式
基隆市,中正區,ChIJ6e5w7UBOXTQRK7srBNaZ91g,湖南小館,4.0,686,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區義一路68號號1樓,其他
基隆市,中正區,ChIJ6eKEjnpPXTQRW0_ujWimJXs,無爭 • 手作料理,4.8,159,,"restaurant,food,point_of_interest,establishment",201台灣基隆市信義區義三路4巷14號,其他
基隆市,中正區,ChIJxT-VgEBOXTQRvvQwooADso0,酒燒創意料理,4.6,336,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區義一路20巷2號,其他
基隆市,中正區,ChIJn8MpITNPXTQRd9_obdQOKvY,趕鴨子下湯,4.3,29,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路593號,其他
基隆市,中正區,ChIJwzsuXkBOXTQRfqttyFzXSZc,陞豪火鍋,4.3,1459,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路34號,火鍋
基隆市,中正區,ChIJ10LvBzxPXTQRbwXI8fie5EQ,Notte Pasta,4.2,103,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區北寧路5號,義式
基隆市,中正區,ChIJkTlkTz5OXTQR0yQzF7HACVM,定食8-基隆店 日式定食 海鮮丼專門 基隆美食 平價料理 爭鮮餐飲集團,4.4,1857,2.0,"restaurant,food,point_of_interest,establishment",200台灣基隆市仁愛區愛三路128號2F,日式
基隆市,中正區,ChIJucfwe_NPXTQRrOYnPgJdas4,初拉麵製作所海大店(公休日詳臉書粉專公告）,4.6,132,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路589號,日式
基隆市,中正區,ChIJMRzvAtlPXTQRm0017IDEqhs,吃什麼-蔬食沙拉/健康餐盒,4.8,175,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路800號,素食
基隆市,中正區,ChIJV2I5UAFPXTQREro00qKLZ7k,陳家麵店,4.2,196,1.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區正濱路2號,其他
基隆市,中正區,ChIJc_D36AtPXTQRL70yoAejmeY,新環港海鮮餐廳,3.9,1226,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區北寧路252巷6-12號,海鮮
基隆市,中正區,ChIJ45feugNPXTQRU4sODsT-pNg,阿本活海產,3.9,1143,2.0,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區和一路2巷1之42號號,其他
基隆市,中正區,ChIJfS15ExBPXTQRwHT2j38vcWs,正濱米苔目,4.6,105,,"restaurant,food,point_of_interest,establishment",202台灣基隆市中正區中正路393巷3號,其他
