city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
台南市,東區,ChIJIR30j5Z2bjQRMT-XpBnuyqQ,85度C咖啡蛋糕飲料麵包-台南中華東店(直營),22.9756894,120.2248668,3.8,1034,1.0,"bakery,store,food,point_of_interest,establishment",中華東路三段229號
台南市,東區,ChIJr2vBFpV2bjQRYhm9ER2uJZA,多那之台南東寧門市,22.9903305,120.2273557,4.0,854,2.0,"cafe,bakery,store,food,point_of_interest,establishment",東寧路269號
台南市,東區,ChIJy2qweNt2bjQRMyNEJgNo2aM,多那之台南永康門市,23.008311,120.234364,3.8,1126,2.0,"cafe,bakery,store,food,point_of_interest,establishment",中華路330號
台南市,東區,ChIJG8tcSqZ3bjQR_XmQYO49mGU,鳳盒子Café,22.9942218,120.2153386,4.7,135,,"cafe,food,point_of_interest,establishment",民族路一段15號
台南市,東區,ChIJbSo6nWd3bjQRCrfKPKmJK28,McCafé 咖啡-台南裕農店,22.9898545,120.2424462,4.3,16,,"cafe,store,restaurant,food,point_of_interest,establishment",裕農路855號
台南市,東區,ChIJE1XuapJ2bjQRRHCH0BxFnXg,台南-CHADOR,22.9944711,120.2179277,4.3,945,2.0,"cafe,store,food,point_of_interest,establishment",勝利路115-1號
台南市,東區,ChIJOXr-l_l3bjQRQswq7DTpzng,貴貴腹地,22.9881652,120.207107,4.7,530,,"cafe,store,restaurant,food,point_of_interest,establishment",建業街18號1樓
台南市,東區,ChIJUcsQCFJ3bjQR5v7_ydtufuE,【烘焙DIY】甘單作-台南崇德店 固定每周二店休,22.9756451,120.224964,4.9,2374,,"bakery,store,food,point_of_interest,establishment",中華東路三段229號
台南市,東區,ChIJ3xL0ucB3bjQR5JRIwcKcLTE,HARUKO CAFE閱讀咖啡館（預約制Reservation Only）,22.9888377,120.230045,5.0,60,,"cafe,health,store,food,point_of_interest,establishment",東寧路510巷23號
台南市,東區,ChIJgetH1Z92bjQRZn5jCyfKLQg,運動彩券,22.975517,120.2252367,2.0,6,,"store,point_of_interest,establishment",崇德路396號
