city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
宜蘭縣,羅東鎮,ChIJJ0kO2X3mZzQR9tYa4YbAFrM,85度C 咖啡蛋糕飲料（羅東民權店）,24.6764988,121.7664232,4.0,216,1.0,"cafe,food,point_of_interest,establishment",民權路138號
宜蘭縣,羅東鎮,ChIJR6MKnNvnZzQRqZxmD3QxvpE,85度C咖啡蛋糕飲料(羅東光榮店),24.6744334,121.7778723,4.0,148,,"cafe,store,food,point_of_interest,establishment",中山路二段337-1號
宜蘭縣,羅東鎮,ChIJkX7e4HjmZzQR30Urev7vlp8,85度C 羅東站前店,24.6781054,121.7723747,3.6,288,1.0,"cafe,food,point_of_interest,establishment",公正路78號
宜蘭縣,羅東鎮,ChIJNfNmjHzmZzQRVse3D1R-gy0,85度C 羅東南門店 | 咖啡 - 蛋糕- 飲料 | 美式咖啡 - 拿鐵 - 奶茶 | 外帶咖啡 - 常有優惠,24.6726287,121.7695578,3.7,391,1.0,"cafe,food,point_of_interest,establishment",南門路15號
宜蘭縣,羅東鎮,ChIJpepxrYbmZzQRuqsisVnAgHE,85度C咖啡蛋糕飲料(羅東北成店),24.6780553,121.7600765,4.2,196,1.0,"cafe,food,point_of_interest,establishment",四育路79號
宜蘭縣,羅東鎮,ChIJnejneNvlZzQRAPmEicORuZo,85度c五結中正親子旗艦店,24.6919361,121.7701781,4.2,192,,"store,food,point_of_interest,establishment",中正路一段210號
宜蘭縣,羅東鎮,ChIJgTxl95PmZzQR7FuFVvNop6g,85度C咖啡蛋糕飲料麵包(宜蘭廣興店),24.6695811,121.7482162,3.9,193,1.0,"cafe,food,point_of_interest,establishment",廣興路237號
宜蘭縣,羅東鎮,ChIJa635wOXlZzQRLbR9AEHGa6c,85度C咖啡蛋糕飲料(宜蘭五結店),24.684208,121.7948958,3.7,359,1.0,"cafe,bakery,store,food,point_of_interest,establishment",五結路三段3號
宜蘭縣,羅東鎮,ChIJwdCWDn_mZzQR0VodnxbEIms,鹿咖啡工坊,24.6730406,121.7651965,4.5,216,,"cafe,food,point_of_interest,establishment",南門路148號
宜蘭縣,羅東鎮,ChIJR4TojIPmZzQRjV4MPwn3l-M,果泥菓子蛋糕專賣店,24.6796108,121.7606901,4.2,1037,1.0,"store,food,point_of_interest,establishment",四育路133號
宜蘭縣,羅東鎮,ChIJnckBJmvnZzQRaEp91U2l6sk,DrinkStore 水雲朵羅東店 - 【宜蘭羅東人氣飲料外送】羅東工業區|特色飲料外送|手搖|飲料店推薦|平價美食,24.6786829,121.7699839,4.6,606,,"point_of_interest,establishment",公正路140號
宜蘭縣,羅東鎮,ChIJs1OhCrrnZzQRA_Dg7I-3SW8,Deep coffee紳度咖啡,24.6776038,121.7685859,4.8,305,2.0,"cafe,store,food,point_of_interest,establishment",民生路88號
