city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
彰化縣,彰化市,ChIJPeVDYIc4aTQRRKPf0Lp4Jek,85度C-彰化和平店,24.079419,120.5405519,3.9,499,1.0,"bakery,cafe,store,food,point_of_interest,establishment",和平路30號
彰化縣,彰化市,ChIJJ_o2s8M4aTQRkokTHp766OE,85度C咖啡蛋糕飲料麵包-彰化師大店,24.085914,120.558593,4.0,416,1.0,"cafe,bakery,store,food,point_of_interest,establishment",中山路三段220號
彰化縣,彰化市,ChIJX7Jr_oI4aTQRDYD_7cqwPdY,85度C彰化金馬店,24.0758918,120.5305365,4.0,471,1.0,"cafe,bakery,store,food,point_of_interest,establishment",金馬路三段784號
彰化縣,彰化市,ChIJOdM4u5U4aTQRcd1B-7M8ROo,85度C咖啡蛋糕飲料麵包-彰化中民店,24.0838851,120.5472952,3.9,344,1.0,"cafe,bakery,store,restaurant,food,point_of_interest,establishment",中民街93號
彰化縣,彰化市,ChIJPeVDYIc4aTQR0dH-tH6c7xA,85度C咖啡-彰化彰基店,24.0708111,120.5430971,3.8,392,1.0,"bakery,store,food,point_of_interest,establishment",旭光路331號
彰化縣,彰化市,ChIJPeVDYIc4aTQRr1Etbhf3dgw,85度C咖啡蛋糕飲料麵包-彰化中正店,24.0670545,120.5350968,4.0,557,1.0,"cafe,food,point_of_interest,establishment",中正路二段679號1樓
彰化縣,彰化市,ChIJb8FkNmI4aTQRC3bbXcErwRo,85度C咖啡蛋糕飲料麵包-彰化大埔店,24.0627416,120.5438969,4.2,285,1.0,"cafe,food,point_of_interest,establishment",大埔路400號
彰化縣,彰化市,ChIJL-8XtpNHaTQRSh2jCWJJgWk,85度C咖啡蛋糕飲料麵包-彰化彰鹿店,24.0628586,120.5189098,4.1,261,,"cafe,store,food,point_of_interest,establishment",彰鹿路27號
彰化縣,彰化市,ChIJ0bED06I4aTQR-rQ9_JmBj9o,煉礦咖啡,24.089558,120.5392948,4.8,192,2.0,"cafe,food,point_of_interest,establishment",自強路42號1F
彰化縣,彰化市,ChIJT1cx55Y4aTQRpG7mHMJTPX8,Yolo Moment 彰化店｜新美式烘焙坊・輕食,24.0826305,120.542616,4.3,1007,2.0,"bakery,store,restaurant,food,point_of_interest,establishment",中正路一段430號
彰化縣,彰化市,ChIJWbclowo5aTQRYctckOVdeYc,大正炸雞,24.0897638,120.5388941,4.7,76,,"store,food,point_of_interest,establishment",自強路29號
彰化縣,彰化市,ChIJ5f84j4U4aTQR0X9_otXerTw,心甜咖啡烘焙坊,24.0733263,120.5389431,4.5,94,,"cafe,food,point_of_interest,establishment",民族路315巷24號
彰化縣,彰化市,ChIJv3EOpJU4aTQRnrJXgSfmB00,Ace Café,24.084046,120.549073,4.8,241,,"cafe,store,food,point_of_interest,establishment",中正路一段152號
