city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
桃園市,中壢區,ChIJf_GtIcojaDQRe-k5mOQIkHs,85度C咖啡蛋糕飲料(中壢壢中店),24.9616814,121.211409,3.8,355,1,"cafe,food,point_of_interest,establishment",三光路84號1 樓
桃園市,中壢區,ChIJrykxMrojaDQR0UJ8wOz4Fy8,85度C咖啡蛋糕飲料(平鎮文化店),24.9559645,121.2029084,3.9,233,1,"cafe,food,point_of_interest,establishment",文化街24巷2號
桃園市,中壢區,ChIJk9sPfk4iaDQRGk9JOvmDDl0,85度C咖啡蛋糕飲料(平鎮金陵店),24.9493607,121.2227954,3.9,360,1,"cafe,bakery,store,food,point_of_interest,establishment",和平路1號
桃園市,中壢區,ChIJ_zdK_1IiaDQRjRLfHZzXKIU,85度C中壢振興店(麵包坊),24.9453967,121.2195777,3.9,546,1,"cafe,food,point_of_interest,establishment",振興路24號
桃園市,中壢區,ChIJoTYN2kkiaDQR2k1QmBdOxKY,85度C咖啡蛋糕飲料(中壢龍慈店),24.9413572,121.2453755,4.0,398,1,"cafe,food,point_of_interest,establishment",後興路一段183號
桃園市,中壢區,ChIJ21wxcqgjaDQRWhCDnB2_SlI,85度C咖啡蛋糕飲料麵包(平鎮延平店)-平鎮特色茶飲|熱門飲料|平價飲品|精緻蛋糕|熱門下午茶|甜點推薦,24.9418029,121.205875,3.9,295,1,"cafe,food,point_of_interest,establishment",延平路三段9號
桃園市,中壢區,ChIJoTYN2kkiaDQRVs_ycV4oKGQ,85度C咖啡蛋糕麵包飲料店(中原店),24.9554214,121.2360534,3.6,581,1,"cafe,store,food,point_of_interest,establishment",中山東路一段311號
桃園市,中壢區,ChIJi8n7uCMiaDQRL8ePPKv0jPY,85度C咖啡蛋糕飲料麵包(中壢福州店),24.9688053,121.235881,3.8,322,1,"cafe,food,point_of_interest,establishment",中園路157號
桃園市,中壢區,ChIJlc7oD7IjaDQRtlSaDij2wAA,85度C咖啡蛋糕飲料麵包(中壢中山東店),24.9454251,121.2472973,4.1,100,1,"cafe,bakery,store,food,point_of_interest,establishment",中山東路三段48號
桃園市,中壢區,ChIJHSbnErMjaDQRFnuugGShEtU,85度C咖啡蛋糕飲料麵包(平鎮義民店),24.9525838,121.2148687,3.4,287,1,"cafe,food,point_of_interest,establishment",義民路148號
桃園市,中壢區,ChIJsSn1xfAhaDQRYuYggBXJEM4,85度C咖啡蛋糕飲料(內壢長春店),24.9785652,121.249309,3.5,149,1,"cafe,food,point_of_interest,establishment",長春路57號
