city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
台北市,文山區,ChIJDRV3GQCrQjQR6WC4vRbxqSM,周詮咖啡 Roundful Cafe,24.9897689,121.573614,5.0,45,,"cafe,store,food,point_of_interest,establishment",新光路一段44號
台北市,文山區,ChIJRbStNQCrQjQR7mRaTOYruOI,樸樹咖啡 （興岩店）,25.0002197,121.5487248,4.8,119,,"cafe,store,food,point_of_interest,establishment",興隆路二段88號
台北市,文山區,ChIJB8RCKNarQjQRqwi4T2kptV0,𝗦𝗵𝗼𝘂 𝗦𝗵𝗼𝘂 𝗖𝗼𝗳𝗳𝗲𝗲 惜惜咖啡,24.9901566,121.5751778,4.5,291,,"cafe,store,food,point_of_interest,establishment",秀明路二段112巷19號
台北市,文山區,ChIJe2ft7PIBaDQR4jvWGqTC81k,CAFE!N 硬咖啡 新店裕隆城門市,24.978061,121.546478,4.0,336,2.0,"cafe,food,point_of_interest,establishment",中興路三段70號1F
台北市,文山區,ChIJrfpxNCyrQjQR8vXq80fN1Y8,CBC SPACE 景美咖啡圖書館 Cafe Boven Co-working,24.9923871,121.5442589,4.5,502,2.0,"cafe,restaurant,food,point_of_interest,establishment",景興路193號
台北市,文山區,ChIJUZFAFUIBaDQRAH7R5rkMXoI,eslite premium 新店,24.9784138,121.5470843,4.0,113,,"cafe,store,food,point_of_interest,establishment",中興路三段70號4樓
台北市,文山區,ChIJOdr16XuqQjQR9DtwP0olppQ,小公寓Apt.cafe,24.9876541,121.5754547,4.3,664,2.0,"cafe,food,point_of_interest,establishment","2樓, No. 56號指南路二段"
台北市,文山區,ChIJY-V3qN8BaDQRaFa8S-RYLXA,舒咖啡Carefree Coffee,24.9819999,121.5615743,4.4,129,,"cafe,store,food,point_of_interest,establishment",木新路三段142號
台北市,文山區,ChIJpbe_xEirQjQRbrGqQygQF1w,昇咖啡｜會議包廂・空間租借（包廂預約制）（店內有日式扭蛋機等你來玩喔！））,24.9866475,121.5678618,4.2,120,,"cafe,store,food,point_of_interest,establishment",木柵路三段102巷14號
台北市,文山區,ChIJ01BimRqqQjQRZ5zTyTCXskk,聯禾咖啡,25.0000181,121.547969,4.1,341,2.0,"cafe,food,point_of_interest,establishment",興隆路二段129號
台北市,文山區,ChIJtf__NBKqQjQRBPIRUkTmskc,DreamGo Bar咖啡廳,24.99843,121.5546238,4.7,49,,"cafe,store,food,point_of_interest,establishment",興隆路三段56號崇德樓一樓
台北市,文山區,ChIJ_zO2yKYBaDQRFc-WwX0wkRU,咖啡喫茶 枝音,24.9799911,121.554505,4.8,236,2.0,"cafe,food,point_of_interest,establishment",木新路三段403號1樓
