city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
台南市,東區,ChIJkczc52N2bjQRCsewjQtsPEk,道南館 自家烘焙咖啡館,22.995927,120.2006268,4.6,769,2.0,"cafe,food,point_of_interest,establishment",民權路二段248號
台南市,東區,ChIJVWRw-X13bjQRIj_-W_2uqBA,NOTHING but coffee,22.9925433,120.2209058,4.8,246,,"cafe,store,food,point_of_interest,establishment",東寧路15巷14號
台南市,東區,ChIJvfO_R-J3bjQRwT19oopIt3I,1 PLUS CAFE 一家咖啡 台南西門店,23.0105132,120.2062212,4.9,646,,"cafe,food,point_of_interest,establishment",西門路四段171巷19弄6-10號
台南市,東區,ChIJ35Uy5CZ0bjQRAbAUzbf9C_k,巷隅咖啡,22.9731759,120.2206536,4.8,832,2.0,"cafe,food,point_of_interest,establishment",中華東路三段399巷5號
台南市,東區,ChIJG3FpOCd0bjQRxzOJfj5zDbk,咖啡部屋｜咖啡｜下午茶｜輕食點心｜異國餐點｜內用外帶,22.974472,120.2213691,4.8,694,2.0,"cafe,restaurant,food,point_of_interest,establishment",中華東路三段332號
台南市,東區,ChIJ_zaS0WR2bjQRuMk5Cyti8xI,Barista Ray Coffee,22.9910406,120.2019579,4.5,1127,2.0,"cafe,store,food,point_of_interest,establishment",友愛街22號
台南市,東區,ChIJacVFtfh3bjQRis2xST2Zank,你聽我說COFFEE HOLLOW,22.9942125,120.200557,4.9,378,,"cafe,store,food,point_of_interest,establishment",民生路一段148號
台南市,東區,ChIJm65KbSt3bjQR6g2AOlTeF5o,在古董咖啡,22.9795717,120.2083783,5.0,477,2.0,"cafe,home_goods_store,store,food,point_of_interest,establishment",體育路41巷30之1號
台南市,東區,ChIJSdp4UWd3bjQRkwekZgNgCt8,古意人咖啡,22.9840821,120.2045425,4.9,238,,"cafe,store,food,point_of_interest,establishment",南門路227巷11號
台南市,東區,ChIJk0p6Q5B3bjQRD5arzwCgVxs,MR GOOD 古德先生澳式咖啡 忠義店,22.9893082,120.2022736,4.9,552,,"cafe,bar,store,restaurant,food,point_of_interest,establishment",忠義路一段102號 中間號那間
台南市,東區,ChIJHSd_fBF1bjQR2roSktc4BGY,MINI.D COFFEE 崇德館,22.9666318,120.2273808,4.6,1019,,"cafe,store,food,point_of_interest,establishment",崇明二十四街82號
