city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
宜蘭縣,羅東鎮,ChIJnTIwlq3nZzQRB6-x54upfZY,悠空間咖啡,24.6765358,121.7657814,4.7,93,,"cafe,hair_care,food,point_of_interest,store,establishment",民權路195號
宜蘭縣,羅東鎮,ChIJqanVrD_nZzQRLapddNLOHDs,小揭商行 COFFEE STREET CO.,24.6774528,121.7707056,4.7,769,2.0,"cafe,food,point_of_interest,establishment",公正街17號
宜蘭縣,羅東鎮,ChIJ-ZSaWQDnZzQRbZaPxkmtXvE,菓稻町咖啡甜品店,24.6539972,121.7638374,4.8,106,,"cafe,food,point_of_interest,store,establishment",義成路二段368號
宜蘭縣,羅東鎮,ChIJB4M0543lZzQRVKQg8UlKUbk,掐口咖啡ChiaCo.Coffee 咖啡x露營/家用器物（每月公休請見IG自介）,24.6838726,121.7951244,4.9,300,,"cafe,food,point_of_interest,store,establishment",自強路169號
宜蘭縣,羅東鎮,ChIJm-H8M2_nZzQRuHtie66-GMs,NiNôo Café (NiNoo),24.6740515,121.767726,4.9,330,2.0,"cafe,food,point_of_interest,establishment",興東南路228巷20號
宜蘭縣,羅東鎮,ChIJcTwxOyLnZzQRisKhiTnAl7U,巷光咖啡 To Light Coffee Roasters,24.6774201,121.7711546,4.7,471,,"cafe,restaurant,food,point_of_interest,establishment",公正街22號
宜蘭縣,羅東鎮,ChIJh9PY2RXnZzQRt63PeUT21Dc,寒山咖啡,24.6770036,121.7723154,5.0,1235,,"cafe,food,point_of_interest,store,establishment",和平路99號
宜蘭縣,羅東鎮,ChIJB3jKE3_mZzQRGMTLAvR14nI,佬家咖啡(店休參考 fb、ig 相片,24.6797511,121.7688497,4.8,320,2.0,"cafe,food,point_of_interest,establishment",林森路100號
宜蘭縣,羅東鎮,ChIJuxLMTPLlZzQRjjYCq6jANO0,綠羽咖啡 Soar cafe,24.6814884,121.7706063,4.9,218,2.0,"cafe,bakery,restaurant,food,point_of_interest,store,establishment",天津路102號一樓
宜蘭縣,羅東鎮,ChIJs949rvvnZzQRn_yVnV8A4RU,藍調 x YOLO's 咖啡 羅東店,24.6776369,121.7693894,4.8,407,2.0,"cafe,food,point_of_interest,establishment",天津路6-1號號1樓
