city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
彰化縣,彰化市,ChIJR11OHoU5aTQR9hR430YkYmk,橘時咖啡彰秀南平店,24.065269,120.5402895,4.9,45,,"cafe,food,point_of_interest,establishment",南平街61巷51號
彰化縣,彰化市,ChIJiWMuTcE5aTQRVDt_LFvlTMM,Fas Coffee｜咖啡外帶吧,24.07994,120.5438335,4.9,201,,"cafe,store,food,point_of_interest,establishment",永福街65號
彰化縣,彰化市,ChIJoxcIMv45aTQR8OUuNh354-w,Coffee Drinkone 桔萬咖啡,24.0798266,120.5384283,4.9,170,,"cafe,store,food,point_of_interest,establishment",永興街90號
彰化縣,彰化市,ChIJYU17r8w5aTQRWsreHYpM0LQ,裝咖所在(休假日請看公告),24.0730837,120.5436064,4.9,69,,"cafe,food,point_of_interest,establishment",光華街142號
彰化縣,彰化市,ChIJZ06izY84aTQRoVRScJz7qwY,53咖啡,24.0753607,120.5422662,4.9,114,1.0,"cafe,store,food,point_of_interest,establishment",民權路53巷2號
彰化縣,彰化市,ChIJu5rGIwA5aTQR2WvsUFLJVVg,Dreamers Coffee 彰化彰基店,24.0714721,120.5419637,4.4,109,,"cafe,store,food,point_of_interest,establishment",旭光西路22號
彰化縣,彰化市,ChIJv3EOpJU4aTQRnrJXgSfmB00,Ace Café,24.084046,120.549073,4.8,241,,"cafe,store,food,point_of_interest,establishment",中正路一段152號
彰化縣,彰化市,ChIJ061IeV05aTQR0F7WuEcM1Gg,莫那威咖啡烘焙坊 monawa cafe-彰化人氣咖啡|手沖咖啡|精品咖啡廳|自家烘焙咖啡|下午茶推薦|人氣鬆餅|必吃鬆餅|在地推薦鬆餅,24.0654774,120.5391972,5.0,81,,"cafe,store,food,point_of_interest,establishment",中山路一段556巷23-20號
彰化縣,彰化市,ChIJPa3ONgA5aTQRbb0IJtfbbkI,FUFU HYGGE coffee & pop shop,24.071575,120.5400855,4.4,530,,"cafe,store,food,point_of_interest,establishment",南瑤路255號
彰化縣,彰化市,ChIJq0gGBJQ4aTQR6huFxtC3wgI,Skinny Cafe 瘦子咖啡·彰化店｜咖啡專賣店,24.0804474,120.5398926,4.7,822,2.0,"cafe,store,restaurant,food,point_of_interest,establishment",光復路143巷4號
彰化縣,彰化市,ChIJhXLxRyc5aTQRFAqx5nfptwI,城中街一號 咖啡簡餐藝文空間,24.0792624,120.5413894,4.8,397,2.0,"cafe,restaurant,food,point_of_interest,establishment",城中街1號
彰化縣,彰化市,ChIJ0bED06I4aTQR-rQ9_JmBj9o,煉礦咖啡,24.089558,120.5392948,4.8,192,2.0,"cafe,food,point_of_interest,establishment",自強路42號1F
彰化縣,彰化市,ChIJG_DJRo44aTQRJ0NnEMKeKx8,Sokoso Cafe手勾手咖啡,24.0742124,120.5432454,4.6,473,2.0,"cafe,food,point_of_interest,establishment",華山路9號
彰化縣,彰化市,ChIJz_tgqoc4aTQRcAZkXIYWI04,典藏家精品咖啡館,24.0691984,120.5366408,4.6,59,2.0,"cafe,food,point_of_interest,establishment",民族路129巷54號
彰化縣,彰化市,ChIJMZxGVQA5aTQRnH3yQedDVsc,好咖啡勇館,24.0843466,120.5413163,5.0,10,,"cafe,store,food,point_of_interest,establishment",三民路122號
彰化縣,彰化市,ChIJmc4jI5I4aTQRjDizYakngD8,白色方塊咖啡工作室,24.0768433,120.545833,4.5,333,2.0,"cafe,food,point_of_interest,establishment",公園路一段50號
彰化縣,彰化市,ChIJwY1h55E4aTQR6fL7rXbrbFU,Stable Fly 穩定飛行模式,24.0766037,120.5430194,4.7,795,2.0,"cafe,restaurant,food,point_of_interest,establishment",永樂街44巷2號
彰化縣,彰化市,ChIJm8G7sK45aTQR1qeP-R48cUY,HWC 黑沃咖啡 | 彰化彰基店,24.0697324,120.5428796,4.4,279,2.0,"cafe,food,point_of_interest,establishment",中興路219號
彰化縣,彰化市,ChIJ2QXDDgA5aTQRaPSOQM5vjTQ,Mor coffee （不定時公休）,24.0742528,120.5372931,4.5,168,,"cafe,store,food,point_of_interest,establishment",民族路361巷75號
彰化縣,彰化市,ChIJ_____8Y-aTQRttBNY0Mejkw,HM cafe,24.0623007,120.5439119,4.6,131,,"cafe,food,point_of_interest,establishment",大埔路381號
彰化縣,彰化市,ChIJHUOlCLs4aTQRBhlse7ovO28,尋鹿咖啡,24.0941452,120.5418837,4.0,324,2.0,"cafe,meal_takeaway,restaurant,store,food,point_of_interest,establishment",永安街476號
彰化縣,彰化市,ChIJx158BT85aTQRGcMAV2P1bqk,浮生咖啡floathing Cafe’,24.0814109,120.541539,4.4,173,,"cafe,store,food,point_of_interest,establishment",成功路260號
彰化縣,彰化市,ChIJuwH5VUw5aTQRe5hPtvCKqto,蜂蜜媽媽,24.073109,120.556759,4.9,145,,"cafe,store,food,point_of_interest,establishment",南郭路一段381巷25號
彰化縣,彰化市,ChIJHUVP__k5aTQR1a7774Ru0O8,晴子咖啡,24.0866222,120.54325,4.9,19,,"cafe,store,food,point_of_interest,establishment",三民路237巷38號
彰化縣,彰化市,ChIJeZ5JtIc4aTQRwBpdsqYA5BE,福庫爾麝香貓風味咖啡館,24.0690017,120.5378184,4.7,75,2.0,"cafe,food,point_of_interest,establishment",民族路129巷1號
彰化縣,彰化市,ChIJuXmqXJE5aTQReuVXq8wxkR4,Ramble Café 漫步藍咖啡,24.0830352,120.5597157,4.6,18,,"cafe,store,food,point_of_interest,establishment",力行路148號
彰化縣,彰化市,ChIJUTGHgXs4aTQRniBmXysXU5U,遇見咖啡館,24.0608205,120.5400587,4.1,333,2.0,"cafe,restaurant,food,point_of_interest,establishment",雲長路2號
彰化縣,彰化市,ChIJz6iMwPE5aTQRoN3gMUygqkA,浪崌咖啡,24.0654331,120.529652,5.0,1,,"cafe,food,point_of_interest,establishment",中央路182-1號1樓
彰化縣,彰化市,ChIJ55yi8JA4aTQRiljbQwojjzY,彰化曼尼咖啡,24.0793358,120.5415786,4.1,49,1.0,"cafe,food,point_of_interest,establishment",成功路179號
彰化縣,彰化市,ChIJW1voZPk5aTQR0gXf930OBzo,咖啡 烟 (無預約服務),24.0772781,120.5390348,4.7,613,,"cafe,store,food,point_of_interest,establishment",永樂街199號
彰化縣,彰化市,ChIJydxsx5c5aTQRSHWp4Kd2-Bs,糖心馨Cheesecake&Coffee,24.0784163,120.5401616,4.7,70,,"cafe,store,food,point_of_interest,establishment",中華路157-159號
彰化縣,彰化市,ChIJN2E3gk45aTQRw4dYpIsHwU0,白髮藝 咖啡 甜點,24.0853359,120.5474956,5.0,47,,"cafe,hair_care,store,food,point_of_interest,establishment",陽明街99號
