city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
桃園市,桃園區,ChIJJbpTLHMfaDQRejJsP5MimPo,咖啡洝．Coffee Àn（不定時公休，請見FACEBOOK及INSTAGRAM）,24.9997465,121.2933599,4.7,121,,"cafe,food,store,point_of_interest,establishment",文中一路195號
桃園市,桃園區,ChIJ27dYcwAfaDQRWn65uylI3A8,乙路咖啡,25.0051882,121.313396,4.9,16,,"cafe,food,point_of_interest,establishment",青溪三路16號
桃園市,桃園區,ChIJj2ZCTwAfaDQRJAYCLJse_B8,(公休請見IG公告) 參拾 Sanshi Coffee,25.0095716,121.3019632,4.8,44,,"cafe,food,store,point_of_interest,establishment",中正路822號
桃園市,桃園區,ChIJscMbLiYfaDQR8CMGz8B2oZU,今遇良研cafe｜桃園中路咖啡廳,24.9971148,121.2980049,4.9,348,,"cafe,food,store,point_of_interest,establishment",保定三街89巷20號
桃園市,桃園區,ChIJoW9hqqofaDQRGpga6BIfH2c,Cafe ima koko (建議來訪前先參閱下方”關於”),25.0001467,121.2885156,4.8,89,,"cafe,restaurant,food,store,point_of_interest,establishment",文中三路199號
桃園市,桃園區,ChIJXT_fe2YfaDQRL5Ay0erWlGc,桃園市婦女培力中心「桃姊妹 TAOSIS」咖啡廳/燉飯與義大利麵料理/便當餐盒/就業資訊/弱勢外資請領/週六市集,24.9927365,121.3104114,4.9,124,,"cafe,restaurant,food,point_of_interest,establishment",民權路69號
桃園市,桃園區,ChIJg96nTFkfaDQRmQjxm0NeEZ0,春綠Caf'e,25.0024415,121.2995303,4.4,217,2.0,"cafe,food,point_of_interest,establishment",愛三街200號
桃園市,桃園區,ChIJ0Qn3maEfaDQRsuIOROPLr7Q,SIDRA COFFEE ROASTER 栖爪咖啡豆調研所,25.0017989,121.2969274,4.9,69,,"cafe,food,store,point_of_interest,establishment",慈文路635巷27號
桃園市,桃園區,ChIJC60k8RQfaDQRWfr_DXAnp4I,咖啡先生-藝文店,25.0108598,121.2965529,5.0,62,,"cafe,food,point_of_interest,establishment",中埔二街50號
桃園市,桃園區,ChIJnXxGXwAfaDQRkQuQgGHh1OQ,Kong Coffee 空咖啡/咖啡豆,24.9895147,121.2794458,5.0,109,,"cafe,food,store,point_of_interest,establishment",國豐三街72號1樓
桃園市,桃園區,ChIJX7kq8lMfaDQRD6_1Lbl471o,程美咖啡(外帶咖啡專賣店）,25.0210278,121.2987341,4.9,60,,"cafe,restaurant,food,point_of_interest,establishment",新埔八街82號
桃園市,桃園區,ChIJcerxZlofaDQRQJTw2plIfgg,朝顏屋 3.2K,25.0058371,121.3206283,4.4,399,,"cafe,food,store,point_of_interest,establishment",三元街175-2號
桃園市,桃園區,ChIJR_gaUxQfaDQRWiOYGxlWHlU,成真咖啡 桃園中正店(鄰近藝文總圖),25.0119174,121.3007281,4.6,602,2.0,"cafe,food,point_of_interest,establishment",中正路900號
桃園市,桃園區,ChIJl3L7Kq4faDQRY300oLLwopU,有沐咖啡,24.9971919,121.2966723,4.5,459,,"cafe,food,store,point_of_interest,establishment",力行路385巷68-2號
桃園市,桃園區,ChIJqz1LcbEfaDQRSXiK5J9q5_g,燊咖啡,25.0164853,121.3017161,4.5,1134,2.0,"cafe,food,store,point_of_interest,establishment",新埔六街138號
