city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
雲林縣,斗六市,ChIJP35xc-TJbjQRTOA4AakeHIE,MOKA,23.70222,120.532458,4.9,146.0,,"cafe,restaurant,food,point_of_interest,store,establishment",中堅西路686號
雲林縣,斗六市,ChIJG0bwYADJbjQRTe1ee-kRkSY,咖啡伴 Caffebene 雲林斗六店,23.709522,120.5425118,4.7,22.0,,"cafe,food,point_of_interest,store,establishment",太平路73號一 樓
雲林縣,斗六市,ChIJYel6DgLJbjQRKsU2yTi12FA,江鳥咖啡- 斗六中華店,23.7084891,120.5437,4.7,352.0,,"cafe,food,point_of_interest,store,establishment",中華路82號
雲林縣,斗六市,ChIJqUtEWQDJbjQRH423Vaeig3A,仁德咖啡Rende_Café(公休日以IG/FB爲主喲！）,23.7072919,120.540964,4.8,52.0,,"cafe,food,point_of_interest,store,establishment",太平路187號
雲林縣,斗六市,ChIJU1pWRT63bjQRUAbjw9FBzHE,Homi House 咖啡,23.6909112,120.5272574,5.0,140.0,,"cafe,food,point_of_interest,establishment",龍潭路No. 40號
雲林縣,斗六市,ChIJi2UuLgPIbjQRU-p2VBB3TWA,原域咖啡-雲科二店,23.6923839,120.5313658,4.7,434.0,1.0,"cafe,food,point_of_interest,establishment",龍潭路3-1 號
雲林縣,斗六市,ChIJqR3dcaLJbjQRrnpx_kdteig,一隻鴨咖啡館,23.7069827,120.5402268,4.9,13.0,,"cafe,food,point_of_interest,store,establishment",中山路133號
雲林縣,斗六市,ChIJj5RtaADJbjQRS2K6xahpCE0,STARBUCKS 星巴克 (斗六明德門市),23.7153599,120.5351599,4.3,51.0,,"cafe,food,point_of_interest,store,establishment",明德北路二段348號
雲林縣,斗六市,ChIJi0HY9JDJbjQR-2yUMkvAgcw,同咖啡ToneCoffee,23.7000185,120.5368634,5.0,186.0,,"cafe,food,point_of_interest,store,establishment",民生南路238號
雲林縣,斗六市,ChIJwSymffTJbjQRtecXlcIPhz8,默默咖啡-斗六旗艦店,23.7141809,120.5430371,4.8,127.0,,"cafe,food,point_of_interest,establishment",鎮北路93之1號
雲林縣,斗六市,ChIJebaFpOK3bjQR3Jo8SGryeiQ,感覺咖啡249號,23.6948719,120.5270958,4.3,23.0,,"cafe,food,point_of_interest,store,establishment",大學路三段249號
雲林縣,斗六市,ChIJn-oXMYLJbjQR_afW-NAU7qs,鶴カフェー (鶴咖啡),23.7061458,120.5487245,4.9,44.0,,"cafe,food,point_of_interest,store,establishment",內環路512號
雲林縣,斗六市,ChIJ3dxHyHzJbjQRiQLXXxp0dMY,江鳥咖啡-斗六明德門市,23.6982579,120.5377818,4.9,240.0,,"cafe,food,point_of_interest,establishment",明德路91號
雲林縣,斗六市,ChIJr9TfQbrJbjQRtGLbx_eXPL8,喬味馨精品咖啡,23.691012,120.5384433,5.0,16.0,,"cafe,bakery,food,point_of_interest,store,establishment",仁義路3-10號
