city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
高雄市,苓雅區,ChIJYf95AwAFbjQRf8HYEAGPtg4,獺咖啡 武廟店（訂位不做保留，建議提早到）,22.6313263,120.3287741,4.8,410,,"cafe,food,point_of_interest,store,establishment",武廟路126巷8號
高雄市,苓雅區,ChIJ1ZNsxJkEbjQRPEYqs2t8Lac,14克咖啡 直火焙煎,22.6144118,120.2990562,4.9,439,1.0,"cafe,bakery,food,point_of_interest,store,establishment",自強三路53巷6號
高雄市,苓雅區,ChIJ5d-zR8cFbjQRMPBbgzCBJEI,KAHWAH CAFE｜早午餐｜咖啡｜甜點｜（早午餐供應至18:00）,22.6210214,120.3265218,4.8,259,2.0,"cafe,restaurant,food,point_of_interest,store,establishment",三多二路43號
高雄市,苓雅區,ChIJfcVuzZAEbjQRA4Ty9R7xv14,my cofi,22.6257039,120.3141808,4.8,598,2.0,"cafe,food,point_of_interest,store,establishment",廈門街19號
高雄市,苓雅區,ChIJ916Pti0FbjQRZD7D55UV1qU,卡啡那 文化探索館,22.6257995,120.3171704,4.1,1690,2.0,"cafe,bakery,food,point_of_interest,store,establishment",五福一路67號西苑
高雄市,苓雅區,ChIJw0QoerkFbjQRE13CUHmJeDg,SPACE 民享店,22.6220953,120.3053356,4.7,125,,"cafe,food,point_of_interest,establishment",民享街88號
高雄市,苓雅區,ChIJywauPGUDbjQR_1C-8pHCmlM,Awake coffee有為咖啡館 高雄美食 聚餐好所在,22.605399,120.310079,4.5,613,2.0,"cafe,restaurant,food,point_of_interest,store,establishment",民豐街24號
高雄市,苓雅區,ChIJRTeCGEMFbjQRDVOSz9T7eSo,金錨咖啡 Gold anchor coffee | 外帶手沖咖啡 | 只有手沖 | 冷萃不用等 | 文化中心咖啡館,22.631002,120.315221,4.8,168,1.0,"cafe,food,point_of_interest,store,establishment",尚義街113號
高雄市,苓雅區,ChIJZ62b4CIFbjQRecuEfJhk-v4,獺咖啡 市府店,22.6209179,120.3103076,4.8,182,1.0,"cafe,food,point_of_interest,establishment",苓雅一路205之2號
高雄市,苓雅區,ChIJ6ZxBT4IEbjQRhLkt6Hd2kjA,路人咖啡1號店-高雄苓雅區咖啡廳 義式/手沖/冰滴/黑咖啡/冷萃 精品咖啡豆/禮盒/濾掛式咖啡 免費WiFi/插座/充電/寵物友善 辦公/讀書/工作 2025人氣熱門推薦 PTT Dcard,22.6172492,120.3050725,4.7,867,1.0,"cafe,restaurant,food,point_of_interest,store,establishment",四維三路217號
高雄市,苓雅區,ChIJJx3r3EwFbjQR0uzR73FWsD0,Viter Cafe 維特咖啡,22.6273911,120.3298343,4.9,186,,"cafe,food,point_of_interest,establishment",中正一路121巷6弄54號
高雄市,苓雅區,ChIJiRFRM0IFbjQRHEjHh39sDmQ,若生靜巷咖啡,22.6155211,120.3168692,4.4,909,2.0,"cafe,food,point_of_interest,store,establishment",桂林街58巷8號
高雄市,苓雅區,ChIJYZHoCsUFbjQR2PQxCcL_zu0,MINI.D COFFEE 復興館,22.6162785,120.3119889,4.5,625,2.0,"cafe,food,point_of_interest,store,establishment",三多三路81號
高雄市,苓雅區,ChIJY6w5TQADbjQR29UpMlV9ZSI,芯蓮芯複合餐飲養生咖啡館☕️Xin Lotus Xin Coffee & LOVE KINDNESS,22.6142497,120.3014437,5.0,2,,"cafe,food,point_of_interest,store,establishment",中華四路71號1樓☕️🍰🍲
高雄市,苓雅區,ChIJ8wIVD50FbjQRuiGWVaU7puU,MAY 16 CAFE,22.6178902,120.295444,4.9,155,,"cafe,food,point_of_interest,store,establishment",青年二路198號
高雄市,苓雅區,ChIJTxvsEpkEbjQRkQd2VViTIog,Around Cafe 流浪咖啡（週五、六 營業至21：00）,22.6201181,120.316242,4.7,367,2.0,"cafe,food,point_of_interest,establishment",福建街66號
高雄市,苓雅區,ChIJSTp9wWAFbjQR1Zs-Xvxi4zM,巴索托咖啡館Bassotto Caffè （沒有訂位，不要再打來訂位了，也沒有賣披薩）,22.6259536,120.3161848,4.2,604,,"cafe,food,point_of_interest,store,establishment",林南街6號
高雄市,苓雅區,ChIJ8yTNsvUFbjQRLHsJQHiJnRs,吉拉德咖啡 Gerard café｜場地租借｜wifi 插座｜辦公商談,22.6384421,120.301338,4.9,210,,"cafe,food,point_of_interest,store,establishment",建國三路2-2號1樓
高雄市,苓雅區,ChIJRxkzsaIPbjQR3aLaY9sxcZs,墨門珈琲 Moment Coffee (內用時間到18:30),22.6324191,120.3122373,4.6,149,,"cafe,food,point_of_interest,store,establishment",六合一路20號1樓
高雄市,苓雅區,ChIJcTSbSpQEbjQRVy7WwwEfDFI,步道咖啡館 Cafe Strada,22.6309973,120.3001453,4.4,1701,2.0,"cafe,food,point_of_interest,establishment",中正四路44號
高雄市,苓雅區,ChIJY4ISv0wFbjQRn5gJIoy12yQ,咖啡預備備 Get Set Co.,22.6290317,120.3181499,4.6,106,,"cafe,food,point_of_interest,establishment",五福一路2號1樓
高雄市,苓雅區,ChIJWzOE2GUFbjQR5l4xi99kWMY,所以咖啡（SUOYI COFFEE)-新田店,22.6229176,120.3059319,4.9,28,,"cafe,store,food,point_of_interest,establishment",新田路87號
高雄市,苓雅區,ChIJde5-RcUFbjQR7PIBeLYpi24,米捌咖啡3.0,22.6428573,120.3305763,4.9,24,,"cafe,store,food,point_of_interest,establishment",正忠路148號珍珍臭豆腐後面（市場裡面
高雄市,苓雅區,ChIJI3djlxwFbjQRIKIatIeqaQQ,續 咖啡Tsuzuki Coffee,22.6257114,120.3019541,4.7,161,,"cafe,food,point_of_interest,establishment",玉竹一街20巷9號
高雄市,苓雅區,ChIJ98BTtpoDbjQR4cpJd4kLc-k,GOR’Coffee& Pâtisserie 法式烘焙輕食咖啡 台塑中山門市,22.6038722,120.3092988,4.6,232,,"bakery,cafe,store,food,point_of_interest,establishment",中山三路39號
高雄市,苓雅區,ChIJA4FzwnQDbjQRpggAqNGsSC0,杯咖啡豆行 Bikafe Coffee Shop,22.6094898,120.3069815,4.9,107,,"cafe,food,point_of_interest,establishment",中山二路66巷9弄2號
高雄市,苓雅區,ChIJA_ife9IFbjQRDitqHMs04CY,餘地Coffee Room(休假日請看IG、FB貼文）,22.6299013,120.3137933,4.5,321,,"cafe,store,food,point_of_interest,establishment",民族二路4巷12號
高雄市,苓雅區,ChIJZSWf3DYFbjQRYFs8X2dqwbk,隅.光 (Lighting Coffee),22.6256491,120.297998,4.9,42,,"cafe,store,food,point_of_interest,establishment",民生二路39號
高雄市,苓雅區,ChIJYfgYya0FbjQRw-RAGHFopQM,"咖啡足矣 Coffee Serenity（假日•連假•無訂位,皆以現場候位）",22.6300252,120.3122078,4.9,571,,"cafe,store,food,point_of_interest,establishment",渤海街26號
高雄市,苓雅區,ChIJwVvUeLgDbjQRCnVEngkfhuY,851227港景咖啡廳,22.6114147,120.3005177,4.5,106,,"cafe,store,food,point_of_interest,establishment",自強三路3號12樓之27
高雄市,苓雅區,ChIJGSh_yR0FbjQRpHyHWWhn_6E,Amapola Cafe 阿瑪玻拉咖啡館,22.641467,120.3004827,4.9,121,,"cafe,food,point_of_interest,establishment",九如二路412號
高雄市,苓雅區,ChIJXb3rbf0FbjQRcpOBz3tA6k4,Beetle Tree Café 金龜樹咖啡（恕不接待10歲以下嬰幼童）,22.6349721,120.3255579,4.7,285,,"cafe,restaurant,food,point_of_interest,establishment",樂善街53號
高雄市,苓雅區,ChIJAxL2X9YDbjQRSU-U-TVCRAM,Louisa Coffee 路易莎咖啡(高雄一心門市),22.6109404,120.3110946,4.1,451,,"cafe,store,food,point_of_interest,establishment",一心二路39號
高雄市,苓雅區,ChIJmfyWgoEEbjQRw9SD1NbEXj8,Cafe自然醒,22.6181941,120.3023352,4.4,538,2.0,"cafe,restaurant,food,point_of_interest,establishment",中山二路463號
