city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
台北市,中山區,ChIJlXwHam-rQjQRZoeCeq3sFW0,Louisa Coffee 路易莎咖啡 (美麗信門市),25.0450624,121.5372233,5.0,1,,"store,food,point_of_interest,establishment",市民大道三段83號1樓
台北市,中山區,ChIJSzTw9mupQjQRNs4E53HyqPs,Louisa Coffee 路易莎咖啡(中山承德直營門市),25.0531307,121.5189136,3.1,1438,1.0,"cafe,store,food,point_of_interest,establishment",南京西路65號
台北市,中山區,ChIJTfP8wCKvQjQRZ8_4_nb2Ygc,Louisa Coffee 路易莎咖啡(士林前港門市),25.0849641,121.5227025,3.4,539,1.0,"cafe,store,food,point_of_interest,establishment",前港街11號1樓
台北市,中山區,ChIJtcC3VbKuQjQRzRsP8LWN88I,Louisa Coffee 路易莎咖啡(劍潭承德店),25.0814938,121.5231067,4.0,624,1.0,"cafe,store,food,point_of_interest,establishment",承德路四段53號
台北市,中山區,ChIJP1HjCHOpQjQRgUoKRyfrsqQ,Louisa Coffee 路易莎咖啡(信陽直營門市),25.0447589,121.5167926,3.2,752,1.0,"cafe,food,point_of_interest,establishment",信陽街5號之2號
台北市,中山區,ChIJfX-p36-pQjQRU3IoqLZH6GY,Louisa Coffee 路易莎咖啡(北科光華門市),25.044019,121.533227,3.5,168,1.0,"store,food,point_of_interest,establishment",新生南路一段1號
台北市,中山區,ChIJ2_rsNGCpQjQRn2pUZ64j80M,Louisa Coffee 路易莎咖啡(南京建國店),25.0517596,121.5358321,3.4,687,1.0,"cafe,food,point_of_interest,establishment",南京東路二段206號
台北市,中山區,ChIJrRytxUipQjQRVtkDM6Ck5RE,Louisa Coffee 路易莎咖啡 (圓山直營店),25.0706863,121.5190057,3.4,904,1.0,"cafe,food,point_of_interest,establishment",酒泉街35號
台北市,中山區,ChIJTZM2xW6pQjQRXXgn8dJ8VkE,Louisa Coffee 路易・莎咖啡(南西門市),25.0513912,121.5219954,3.4,186,1.0,"cafe,restaurant,food,point_of_interest,establishment",中山北路一段138號後棟
台北市,中山區,ChIJeR4HzSqpQjQRb2nUUI0uD7g,台北捷運 x 路易莎聯名旗艦店,25.055692,121.5212063,3.4,690,,"cafe,store,food,point_of_interest,establishment",中山北路二段48巷7號
台北市,中山區,ChIJBYzZqsipQjQRB3A8ncRMGaQ,Louisa Coffee 路易莎咖啡(新南京新生門市),25.0518885,121.5282754,3.4,100,1.0,"cafe,store,food,point_of_interest,establishment",南京東路二段6號1 樓
台北市,中山區,ChIJB3aiMDqpQjQRJAglKoFd788,LOUISA COFFEE 路易莎咖啡(沅陵門市),25.0427651,121.5128236,3.5,265,1.0,"store,food,point_of_interest,establishment",沅陵街6號
台北市,中山區,ChIJKRNL79yrQjQRikLl9k3XlmA,Louisa Coffee 路易莎咖啡 (八德台安門市),25.0483382,121.5466098,3.3,635,1.0,"cafe,food,point_of_interest,establishment",八德路二段429號
台北市,中山區,ChIJ_4LjGSepQjQRAJtnqk38M6Q,Louisa Coffee 路易莎咖啡(庫倫承德門市),25.0726242,121.518547,4.1,599,1.0,"store,food,point_of_interest,establishment",承德路三段234+236+238號
台北市,中山區,ChIJe07EcL-rQjQRSg8ImUOoFSY,Louisa Coffee 路易莎咖啡(忠孝延吉店),25.0419054,121.5546514,3.6,115,,"store,food,point_of_interest,establishment",延吉街137巷4號1樓
台北市,中山區,ChIJyX1Da9qrQjQRg5JVCdh8q64,Louisa Coffee 路易莎咖啡(忠孝SOGO門市),25.0427416,121.5442039,3.4,600,1.0,"cafe,food,point_of_interest,establishment",復興南路一段133之1號133之1號
台北市,中山區,ChIJE2gE4WKpQjQROP7bRy8pg3Y,Louisa Coffee 路易莎咖啡(台北轉運站門市),25.0490428,121.5185002,2.2,211,,"cafe,food,point_of_interest,establishment",市民大道一段209號
台北市,中山區,ChIJxzq6y2OpQjQRGredNxJe854,Louisa Coffee 路易莎咖啡(松江長安店),25.0483395,121.5339035,3.6,354,1.0,"cafe,food,point_of_interest,establishment",長安東路二段78-1號
台北市,中山區,ChIJoagG5VipQjQRkEQjPUwh_DQ,路易莎咖啡(民權門市),25.0616959,121.5348042,4.2,215,1.0,"cafe,store,food,point_of_interest,establishment",松江路313巷22號之2號
台北市,中山區,ChIJiZrRUgGrQjQR4JDJgudKWBw,Louisa Coffee 路易莎咖啡 (光復南京門市),25.0512799,121.556747,3.4,681,1.0,"cafe,store,food,point_of_interest,establishment",南京東路四段166號
台北市,中山區,ChIJW_PdaJypQjQR2T3ickLtzbg,Louisa Coffee 路易莎咖啡(Y17門市),25.0391392,121.5222359,1.9,272,1.0,"food,store,point_of_interest,establishment",仁愛路一段17號1樓
台北市,中山區,ChIJHyklTAOrQjQReQtvP2QqhVQ,Louisa Coffee 路易莎咖啡(玉山總部門市),25.0590955,121.5502525,3.0,309,1.0,"food,store,point_of_interest,establishment",敦化北路315號
台北市,中山區,ChIJaw63CsOpQjQRdpjLZqxL85g,Louisa Coffee 路易莎咖啡(忠孝善導寺門市),25.0440268,121.5256914,2.7,617,1.0,"food,store,point_of_interest,establishment",忠孝東路一段148號
台北市,中山區,ChIJHZS0eUSpQjQRGntDS5DcHEc,Louisa Coffee 路易莎咖啡 (民權西門市),25.062965,121.5221216,3.7,2045,1.0,"cafe,food,point_of_interest,establishment",民權西路3號
台北市,中山區,ChIJeVItyJ85aTQR2qX93MI79o4,Louisa Coffee 路易莎咖啡(樂群直營店),25.079711,121.5571415,3.1,224,,"cafe,food,store,point_of_interest,establishment",樂群二路150號
台北市,中山區,ChIJHWLil2SrQjQRK9b2LcwDnm0,Louisa Coffee 路易莎咖啡(民權復興門市),25.0618104,121.5462473,3.1,300,1.0,"food,store,point_of_interest,establishment",民權東路三段132號1樓
台北市,中山區,ChIJPV_9uuOrQjQRUAnk_P4rSWY,Louisa Coffee 路易莎咖啡(仁愛明曜門市),25.0394901,121.5519434,2.6,410,,"cafe,food,store,point_of_interest,establishment",仁愛路四段151巷25號
