city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
嘉義市,東區,ChIJLy7l_-mVbjQRYg54iOOvoUg,Louisa Coffee 路易莎咖啡(嘉義圓環門市),23.4799931,120.4493224,3.6,680,1.0,"cafe,food,point_of_interest,establishment",中山路294號
嘉義市,東區,ChIJ7S3G_yyVbjQRDATdETHjgtY,Louisa Coffee 路易莎咖啡 (嘉義垂楊門市),23.4740178,120.4499647,4.2,101,,"restaurant,food,store,point_of_interest,establishment",垂楊路396號398號
嘉義市,東區,ChIJIbDIDyKUbjQRykvCkESaYY4,卓武咖啡(裝修中！僅提供外帶、外送；無內用！）,23.4787031,120.4465082,4.4,438,2.0,"cafe,food,point_of_interest,establishment",民生北路194號192號
嘉義市,東區,ChIJoSB_pcqVbjQR5IC8TEIU5w0,幸福原在咖啡,23.4862223,120.4579132,4.7,183,2.0,"cafe,food,point_of_interest,establishment",維新路195號
嘉義市,東區,ChIJdw1dD1CVbjQR5HWMQnbj6-8,suicafe隧咖啡,23.4775367,120.4523167,4.7,153,,"cafe,food,store,point_of_interest,establishment",成仁街111號
嘉義市,東區,ChIJhdCLmCaUbjQRPgiPTqAa6SU,MIMICO COFFEE 秘密客咖啡館,23.4836716,120.4499184,4.5,730,2.0,"cafe,food,point_of_interest,establishment",興中街200號
嘉義市,東區,ChIJkSndeEqUbjQRj6o-KJuqk3s,花磚咖啡。淺嚐館,23.4804613,120.4592053,4.6,431,1.0,"cafe,food,point_of_interest,establishment",公明路59-1號
嘉義市,東區,ChIJ8XaP1ik0BhQRYeZTVyskNPs,古典咖啡,23.4774049,120.4624411,4.5,84,2.0,"cafe,food,point_of_interest,establishment",啟明路58號
嘉義市,東區,ChIJ7VBA3SGUbjQRe4S90T8vXEQ,多那之嘉義新民門市,23.4669392,120.4399582,3.7,948,2.0,"cafe,bakery,food,store,point_of_interest,establishment",新民路643號
嘉義市,東區,ChIJVQ0EdZKVbjQRQeOwHVAeR8A,多那之嘉義民國門市,23.4791462,120.4601848,3.1,351,,"cafe,bakery,food,store,point_of_interest,establishment",民國路143號
嘉義市,東區,ChIJxUUDdyyVbjQRRl5r_ulHrSQ,cama café 嘉義中山店,23.4794755,120.4464182,4.3,208,1.0,"cafe,food,store,point_of_interest,establishment",中山路441號
嘉義市,東區,ChIJkTIgq06VbjQRJKBAWQjamyc,星巴克 嘉義世賢門市,23.464145,120.4512745,4.5,612,2.0,"cafe,food,store,point_of_interest,establishment",世賢路四段432-1號
嘉義市,東區,ChIJy5M1jy2UbjQRrxERunH9GJQ,BES coffee,23.4828685,120.4469261,4.8,292,,"cafe,food,point_of_interest,establishment",長榮街278號
嘉義市,東區,ChIJ9-a0iMqVbjQRqrlXj3zFgfQ,Daisy的雜貨店,23.4816218,120.4587068,4.6,497,2.0,"cafe,restaurant,food,point_of_interest,establishment",維新路73號
嘉義市,東區,ChIJk5BHbeWVbjQRvRM9kHUbuN8,IN COFFEE,23.4768875,120.4476871,4.7,871,2.0,"cafe,food,point_of_interest,establishment",忠義街50號
嘉義市,東區,ChIJL_iG1S-UbjQRCcYCXqloXkU,小口品s,23.4777303,120.4470138,4.9,465,2.0,"cafe,restaurant,food,point_of_interest,establishment",光彩街453號
嘉義市,東區,ChIJSY_Sgj-VbjQRAy1vMJTlwDk,她的咖啡 HER COFFEE,23.4764743,120.4516215,4.8,208,,"cafe,food,point_of_interest,establishment",興中街64號
嘉義市,東區,ChIJl-EjDACVbjQR3pFjMuy7sHs,黑嶼白 Black Islands White Coffee&Tea。義式咖啡/茶飲/藍莓貝果/鹽可頌/自製奶酥法棍。嘉義咖啡。,23.4699912,120.4426197,5.0,86,,"cafe,food,store,point_of_interest,establishment",永安街385號1樓
