city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
新竹縣,竹北市,ChIJ5Q7yQfo2aDQRC4VN1ac0Ns8,Louisa Coffee 路易莎咖啡(竹北成功店),24.8187031,121.0234517,3.9,624.0,1.0,"cafe,food,point_of_interest,establishment",成功五街76號
新竹縣,竹北市,ChIJHTlHtOQ2aDQR0_Tm50bdGYk,Louisa Coffee 路易莎咖啡(竹北莊敬門市),24.8219942,121.0265854,3.5,578.0,1.0,"cafe,food,store,point_of_interest,establishment",莊敬五街38號
新竹縣,竹北市,ChIJn_yUjRk3aDQRTa9itsR6hYk,Louisa Coffee 路易莎咖啡 (竹北昌益門市),24.8445054,121.0090776,3.5,4.0,,"food,store,point_of_interest,establishment",環科一路11號 (5D1號
新竹縣,竹北市,ChIJtZ0UKpM2aDQRmc7JJbem_TY,Louisa Coffee 路易莎咖啡(竹北縣政門市),24.8282261,121.0102893,3.4,411.0,1.0,"cafe,food,store,point_of_interest,establishment",縣政九路153號
新竹縣,竹北市,ChIJyxmRaPI2aDQR-doSg_Tf638,Louisa coffee,24.8234676,121.0141124,4.2,257.0,1.0,"cafe,food,store,point_of_interest,establishment",縣政二路55號
新竹縣,竹北市,ChIJfzGo5us2aDQRVHgtAxG0R3I,Louisa Coffee 路易莎咖啡(竹北光明門市),24.830525,121.0159144,4.0,326.0,1.0,"cafe,food,point_of_interest,establishment",光明一路196號
新竹縣,竹北市,ChIJhczqsbg3aDQRmYbD_l5JA3Q,Louisa Coffee 路易莎咖啡(國道湖口門市),24.8574485,121.009867,3.1,158.0,,"food,store,point_of_interest,establishment",國強街1巷8號
新竹縣,竹北市,ChIJbY4zR5Q2aDQRFg3-JTPygws,路易莎咖啡 竹北博愛店,24.8333511,121.00638,3.9,444.0,1.0,"cafe,food,point_of_interest,establishment",博愛街239號
新竹縣,竹北市,ChIJx6BLsAk1aDQR9TQ3ZlGP0is,Louisa Coffee 路易莎咖啡 (新竹綠光門市),24.8107031,120.9850591,4.0,351.0,1.0,"cafe,food,point_of_interest,establishment",中華路一段426號
新竹縣,竹北市,ChIJp4bYWG03aDQR6xK1Q9Pe3QQ,路易莎咖啡 竹北嘉豐門市,24.8167749,121.0294319,4.1,178.0,,"food,store,point_of_interest,establishment",嘉豐一街33號
新竹縣,竹北市,ChIJ94A_CtM3aDQR8Le0zOoKYL0,Louisa Coffee 路易莎咖啡(台元聯發科門市),24.8416909,121.0126664,3.9,29.0,1.0,"cafe,food,store,point_of_interest,establishment",台元街26號3樓之3
新竹縣,竹北市,ChIJPZQ8aD83aDQR-KOmdZD9-kI,Louisa Coffee 路易莎咖啡 (緯創總部門市),24.8292359,121.0208596,,,,"food,store,point_of_interest,establishment",智慧二路1號
