city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
花蓮縣,花蓮市,ChIJW5eSfm6faDQRbD31NTZd8HU,Louisa Coffee 路易莎咖啡 (花蓮太昌門市),23.9879878,121.5862664,4.2,15,,"food,store,point_of_interest,establishment",建國路一段282號
花蓮縣,花蓮市,ChIJf0io4AifaDQRzgQUzdDdKyg,Louisa Coffee 路易莎咖啡(花蓮民國門市),23.9777374,121.6037193,4.1,483,,"cafe,food,point_of_interest,establishment",民國路79-3號
花蓮縣,花蓮市,ChIJfXD7XsGfaDQR1ynC_pVnHr0,762轉運咖啡站,23.9793687,121.6109914,4.8,8,1.0,"cafe,food,point_of_interest,establishment",中正路600號
花蓮縣,花蓮市,ChIJ5QktjhGfaDQRA_oA-nPCKmc,週六郊區咖啡豆專賣店,23.9882981,121.6225357,4.7,123,,"cafe,food,point_of_interest,establishment",民權七街22號
花蓮縣,花蓮市,ChIJ5fO1ZGefaDQRRRXfADr5uXI,雨林Scone&Coffee 司康專賣店,23.9740542,121.6074765,4.7,363,2.0,"cafe,bakery,restaurant,food,store,point_of_interest,establishment",明義街55號
花蓮縣,花蓮市,ChIJqWyp28OfaDQR1gcahCSf1KQ,cama café 花蓮中山店,23.9771542,121.6093639,4.1,160,1.0,"cafe,food,point_of_interest,establishment",中山路150號
花蓮縣,花蓮市,ChIJxUvNJjmfaDQRAcsjmAAtBBE,伊萊莎咖啡館Fair Lady coffee shop,23.9860611,121.6223827,4.9,95,,"cafe,restaurant,food,bar,store,point_of_interest,establishment",民德一街128號
花蓮縣,花蓮市,ChIJe99mFdSfaDQRq_W_Tyy3rXA,羅伯咖啡中美店,23.9901164,121.6247872,4.2,168,1.0,"cafe,food,point_of_interest,establishment",中美路95號
花蓮縣,花蓮市,ChIJvQ4csd2faDQRxsUFdS9vCkM,PP cake 露天咖啡,23.9755733,121.6096808,4.6,39,,"cafe,parking,food,point_of_interest,establishment",福町路成功街口
花蓮縣,花蓮市,ChIJ9f06UACfaDQRXBE2LJqb3J4,南日咖啡 Namli,23.9751167,121.6045252,4.8,116,1.0,"cafe,food,point_of_interest,establishment",仁愛街45號一樓
花蓮縣,花蓮市,ChIJOblsaYCfaDQRpJDMgIIIgdc,單行道咖啡,23.995457,121.6045173,5.0,833,,"cafe,food,store,point_of_interest,establishment",國聯五路250號
花蓮縣,花蓮市,ChIJfzcdarufaDQRIibxw7-ys2g,羅伯咖啡 建國本館,23.9851195,121.595405,4.0,184,1.0,"cafe,food,point_of_interest,establishment","建國路一段40-6號號, No"
花蓮縣,花蓮市,ChIJ2Q48saWfaDQRysB5O_XUm6s,樂見里8號閱覽室,23.9767324,121.6040107,4.9,76,,"cafe,restaurant,food,point_of_interest,establishment",中華路144號
花蓮縣,花蓮市,ChIJe3Khi-qfaDQR_hY8tRU9r5M,半寓咖啡,23.97472,121.6080927,4.7,568,2.0,"cafe,food,point_of_interest,establishment",成功街316號
花蓮縣,花蓮市,ChIJOUVyZ7-faDQRCv9b2Z1HtCw,Prince 王子 廚義/花蓮美食 花蓮餐廳 花蓮義大利麵 花蓮甜點 花蓮下午茶,23.9776296,121.6031688,4.3,1235,2.0,"restaurant,food,store,point_of_interest,establishment",民國路67號
花蓮縣,花蓮市,ChIJEf_Z15efaDQRYrA_sAeq75k,UNCONDITIONAL COFFEE ROASTERY【無攝限咖啡】,23.9786532,121.5963067,4.8,362,2.0,"cafe,food,point_of_interest,establishment",國風街84號 由林政街進入
花蓮縣,花蓮市,ChIJr-LtlKOfaDQRyU1fEqJK_2o,小室咖啡 花蓮總店,23.975993,121.6032142,4.6,143,,"cafe,food,point_of_interest,establishment",有恆街3號
花蓮縣,花蓮市,ChIJabY88-qfaDQRd4oZ2BFhAGc,珈琲宅（KOHI宅 / 休假日期請見臉書公告）,23.9745564,121.6078106,4.8,386,,"cafe,food,point_of_interest,establishment",成功街298號
