city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
高雄市,鼓山區,ChIJz_GcLjwFbjQRoIB3G9i_-MQ,Louisa Coffee 路易莎咖啡(博愛北平門市),22.650059,120.3037315,3.5,515,1.0,"store,food,point_of_interest,establishment",博愛一路336號
高雄市,鼓山區,ChIJlXNHsWoFbjQRk0f610x9Ic0,Louisa Coffee 路易莎咖啡 (中山大學門市),22.6272837,120.2647843,3.9,58,,"store,food,point_of_interest,establishment",蓮海路70號360藝文空間
高雄市,鼓山區,ChIJh5bkelAEbjQRVLuMGLflEIY,Louisa Coffee 路易莎咖啡(高雄美術館門市),22.6515511,120.2883462,4.0,808,1.0,"cafe,food,point_of_interest,establishment",青海路112號
高雄市,鼓山區,ChIJ29N3zfIFbjQRNLOJjiHWPZ4,Louisa Coffee 路易莎咖啡(高雄龍德直營門市),22.6573994,120.2968966,3.8,618,1.0,"store,food,point_of_interest,establishment",龍德路409號
高雄市,鼓山區,ChIJIxjX_7IFbjQRvtP8qEgmPtE,Louisa Coffee 路易莎咖啡 (高雄七賢門市),22.6339753,120.3051264,4.1,433,,"store,food,point_of_interest,establishment",林森一路230號
高雄市,鼓山區,ChIJSV4pGRwFbjQRoogyscn00ag,Louisa Coffee 路易莎咖啡(高雄大立蔦屋門市),22.6216445,120.2984761,3.2,209,,"store,food,point_of_interest,establishment",五福三路59號2樓
高雄市,鼓山區,ChIJW7JsV4oDbjQRvfKA6z0lDVw,Louisa Coffee 路易莎咖啡(棧二庫門市),22.6187084,120.2778335,3.8,780,1.0,"cafe,food,point_of_interest,establishment",蓬萊路17號
高雄市,鼓山區,ChIJgcLVcFAEbjQR07mcu9Bb1PM,卡啡那 美術館,22.6512528,120.2876702,4.3,4994,2.0,"cafe,bakery,store,food,point_of_interest,establishment",美術東二路3號
高雄市,鼓山區,ChIJ8zqNH2UEbjQRp_1UdhLak0Y,真心豆行 - 七賢分店,22.6306673,120.2887057,4.5,477,2.0,"cafe,food,point_of_interest,establishment",七賢二路365號
高雄市,鼓山區,ChIJEet8z-4FbjQRtpCUJJTd0Nc,MINI.D COFFEE 至聖館,22.6597156,120.3052708,4.5,874,1.0,"cafe,food,point_of_interest,establishment",至聖路250號
高雄市,鼓山區,ChIJGz-YuVgFbjQRQ3i0qoj9rxw,TSUTAYA BOOKSTORE 高雄大立店,22.6216235,120.2985194,4.5,996,,"book_store,store,point_of_interest,establishment",五福三路57號1&2樓（大立百貨A棟
高雄市,鼓山區,ChIJcwkV1nwEbjQRR_wFigS7NCw,烘豆房-自強店,22.6277369,120.2945089,4.0,112,,"store,food,point_of_interest,establishment",自強二路170號
高雄市,鼓山區,ChIJ0SACk_oFbjQRz_naC4KLpaE,咖啡覺醒 中山店,22.6213769,120.3013617,4.3,1373,2.0,"cafe,store,restaurant,food,point_of_interest,establishment",中山二路547號
