city,area_name,place_id,name,lat,lng,rating,user_ratings_total,price_level,types,address
花蓮縣,花蓮市,ChIJffheq8GfaDQRVqMDfBBc6Nk,Starbucks 星巴克 (花蓮門市),23.9780747,121.6083192,4.1,1306,2.0,"cafe,food,store,point_of_interest,establishment",中山路231號
花蓮縣,花蓮市,ChIJwXloc7KfaDQR_0WutDcicOA,星巴克典藏™ 花蓮中央門市,23.9964915,121.5945191,4.3,1756,2.0,"cafe,food,store,point_of_interest,establishment",中央路四段11號
花蓮縣,花蓮市,ChIJBbVp_b2faDQRIxvNEfWB-_c,Starbucks 星巴克 (花蓮遠百門市),23.9787989,121.5984811,4.2,919,2.0,"cafe,food,store,point_of_interest,establishment",和平路581號1F
花蓮縣,花蓮市,ChIJ0SEPv4SsQjQRqhMPXI9_8nE,Starbucks 星巴克 (花蓮新站門市),23.9932587,121.6015965,3.6,282,2.0,"cafe,food,store,point_of_interest,establishment",國聯一路100號
花蓮縣,花蓮市,ChIJoW9Uf6SfaDQRNUYJIPCV0QY,好。咖啡（附設停車場，營業詳情請查看臉書粉專）,23.9851096,121.5908818,4.8,181,2.0,"cafe,food,point_of_interest,establishment",自強路476號
花蓮縣,花蓮市,ChIJ7XEx5bOfaDQR8rFiYwsXx4M,7-ELEVEn 讚蓮門市,23.9944949,121.5990346,4.2,71,,"convenience_store,atm,finance,food,store,point_of_interest,establishment",富吉路2號
花蓮縣,花蓮市,ChIJZ8AKewCfaDQRHxC1WfgcvzI,大樹藥局-花蓮中山店,23.9785739,121.6082516,5.0,228,,"pharmacy,health,store,point_of_interest,establishment",中山路192號
花蓮縣,花蓮市,ChIJQZkbW92faDQRFWqFC0Mytc0,河狸咖啡,23.9778387,121.5977279,4.8,53,,"cafe,food,point_of_interest,establishment",建林街6號
花蓮縣,花蓮市,ChIJ2YVcFkafaDQRFIjxRdKnrJ4,Palette Cafe&Art,23.985024,121.5986296,4.5,53,,"cafe,food,store,point_of_interest,establishment",建國路350巷18弄33號1樓
花蓮縣,花蓮市,ChIJYTS-HFafaDQReXLRLs4zAcs,宸誼咖啡館/花蓮美食/花蓮餐廳/花蓮咖啡/花蓮cafe/花蓮下午茶/親子餐廳/抓周,23.9876188,121.5927087,4.8,293,,"cafe,food,store,point_of_interest,establishment",自強路576號
花蓮縣,花蓮市,ChIJdaXdQ7-naDQRNH2r1ZRjTnM,花蓮壽豐寶貝海,23.9910732,121.6111949,5.0,1,,"cafe,food,store,point_of_interest,establishment",68號
花蓮縣,花蓮市,ChIJoxNZTbifaDQR-SkKRPofdTs,Cabra Coffee 山羊咖啡,23.98573,121.6026846,4.6,382,,"cafe,food,point_of_interest,establishment",中山路416-6號
花蓮縣,花蓮市,ChIJB6b6xaSfaDQRgCxeNNe5b7A,U-POWER 充電站,23.9965445,121.5938658,4.8,31,,"point_of_interest,establishment",中山路一段11-1號
