city,n,rating_avg,rating_med,rating_std,popularity_sum,popularity_med
台北市,60,4.423333333333333,4.4,0.21735440610465512,173153,2223.5
花蓮縣,60,4.5233333333333325,4.5,0.2360455763709494,146742,1355.0
台南市,60,4.5216666666666665,4.55,0.26431341608193887,131221,1767.5
新北市,40,4.525,4.5,0.28978329657583596,127941,2262.5
彰化縣,60,4.526666666666667,4.55,0.26352671151823615,125945,934.5
屏東縣,60,4.475,4.5,0.2867852205255083,104722,1284.5
高雄市,60,4.448333333333333,4.4,0.2613470104803298,103460,1121.0
台中市,20,4.62,4.65,0.20925934551223882,97019,2167.5
宜蘭縣,60,4.575,4.65,0.28081298439244173,92221,1040.0
苗栗縣,60,4.46,4.5,0.22862892739257204,82514,626.0
基隆市,60,4.4766666666666675,4.55,0.2895740101332174,50230,438.5
